Opp_ID,Account_Name,Industry,Region,Amount,Stage,Lead_Source,Sales_Notes,Created_Date
OPP-00025,"Powell, Weaver and Randall",Logistics,AMER,176039,Closed Won,Partner,"Budget is approved, but they need an API integration for Python.",2025-08-29
OPP-00026,"Mooney, Johnson and Rice",FinTech,EMEA,58567,Closed Lost,G2 Review,They are comparing us to a local competitor in Berlin.,2025-04-07
OPP-00027,"Lamb, Garcia and Cook",Retail,AMER,123575,Discovery,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-08-18
OPP-00028,Gray and Sons,Retail,APAC,234647,Proposal,Webinar,Technical gap: missing multi-currency support in the dashboard.,2025-10-13
OPP-00029,"Beck, Chen and Smith",AI,EMEA,200015,Discovery,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-08-22
OPP-00030,Wood-Sellers,AI,AMER,142876,Closed Lost,LinkedIn,"Great call, but internal restructuring might delay the sign-off.",2025-11-29
OPP-00031,"Woodward, Mitchell and Hopkins",Logistics,EMEA,156760,Closed Lost,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-10-02
OPP-00032,"Sanders, Turner and Johnson",SaaS,EMEA,124772,Discovery,LinkedIn,Decision maker is hesitant about the pricing structure.,2026-01-18
OPP-00033,Christensen-Carroll,HealthTech,APAC,196136,Proposal,LinkedIn,"Budget is approved, but they need an API integration for Python.",2025-12-03
OPP-00034,"Guerrero, Wall and Kelly",AI,AMER,107156,Qualification,Partner,Decision maker is hesitant about the pricing structure.,2025-09-24
OPP-00035,Carter Ltd,AI,EMEA,136667,Qualification,LinkedIn,They are comparing us to a local competitor in Berlin.,2026-01-24
OPP-00036,Suarez-Wheeler,SaaS,APAC,159778,Discovery,G2 Review,Decision maker is hesitant about the pricing structure.,2025-03-25
OPP-00037,"Jimenez, Wells and Martin",Retail,AMER,165253,Negotiation,G2 Review,They are comparing us to a local competitor in Berlin.,2025-04-22
OPP-00038,Curtis Inc,Retail,AMER,164235,Proposal,Partner,Technical gap: missing multi-currency support in the dashboard.,2025-05-28
OPP-00039,"Conway, Ward and Gonzalez",FinTech,AMER,92158,Closed Won,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2026-02-17
OPP-00040,"Dixon, Gallegos and Matthews",AI,AMER,47899,Proposal,G2 Review,"Highly motivated, looking to close by the end of Q3.",2025-07-04
OPP-00041,Ramirez Ltd,Logistics,APAC,135891,Proposal,Partner,Technical gap: missing multi-currency support in the dashboard.,2025-09-19
OPP-00042,Rios-Hanna,HealthTech,EMEA,110520,Negotiation,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-03-15
OPP-00043,Peters-Spears,SaaS,EMEA,23865,Qualification,Cold Outbound,Decision maker is hesitant about the pricing structure.,2025-06-21
OPP-00044,"Kim, Howard and Davis",Logistics,AMER,124014,Negotiation,Webinar,"Highly motivated, looking to close by the end of Q3.",2025-10-08
OPP-00045,Beasley-Villa,Retail,APAC,23611,Closed Lost,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-10-11
OPP-00046,"Rodriguez, Hendricks and Alexander",HealthTech,EMEA,52382,Proposal,Partner,"Budget is approved, but they need an API integration for Python.",2025-07-13
OPP-00047,Obrien-Castaneda,HealthTech,EMEA,238113,Discovery,Webinar,"Budget is approved, but they need an API integration for Python.",2026-01-26
OPP-00048,Simon Inc,Logistics,AMER,115509,Qualification,LinkedIn,Decision maker is hesitant about the pricing structure.,2026-03-10
OPP-00049,Brock-Lynch,SaaS,AMER,179217,Discovery,Partner,Customer requested a 15% discount; Finance approval pending.,2025-07-28
OPP-00050,Potts-Jensen,SaaS,EMEA,246152,Closed Lost,Partner,"Budget is approved, but they need an API integration for Python.",2025-10-28
OPP-00051,"Torres, Jones and Bautista",FinTech,EMEA,200841,Proposal,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-04-23
OPP-00052,Garner Inc,AI,AMER,55985,Qualification,Webinar,"Great call, but internal restructuring might delay the sign-off.",2026-01-10
OPP-00053,Robertson-Alexander,Logistics,AMER,146932,Qualification,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-05-22
OPP-00054,Butler-Sexton,HealthTech,EMEA,31439,Negotiation,G2 Review,"Great call, but internal restructuring might delay the sign-off.",2025-06-20
OPP-00055,"Mcdaniel, Larsen and Berg",AI,APAC,30397,Negotiation,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-08-29
OPP-00056,Bradley Group,Logistics,APAC,220994,Discovery,Partner,Decision maker is hesitant about the pricing structure.,2025-06-24
OPP-00057,Curtis Ltd,SaaS,AMER,136644,Closed Won,LinkedIn,"Highly motivated, looking to close by the end of Q3.",2026-03-04
OPP-00058,Turner PLC,FinTech,EMEA,51683,Discovery,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-10-21
OPP-00059,"Jacobson, Smith and Farmer",SaaS,APAC,19249,Closed Won,G2 Review,They are comparing us to a local competitor in Berlin.,2025-08-04
OPP-00060,Garrett-Carpenter,Logistics,APAC,178257,Closed Lost,Partner,"Highly motivated, looking to close by the end of Q3.",2025-06-07
OPP-00061,Owens Inc,HealthTech,EMEA,94225,Discovery,Partner,Customer requested a 15% discount; Finance approval pending.,2025-07-28
OPP-00062,"Kelly, Long and Stanley",FinTech,AMER,106963,Closed Won,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-08-01
OPP-00063,Norton Inc,Logistics,EMEA,213141,Closed Lost,Webinar,They are comparing us to a local competitor in Berlin.,2026-02-27
OPP-00064,Wolfe LLC,Logistics,AMER,178393,Proposal,Cold Outbound,"Highly motivated, looking to close by the end of Q3.",2026-02-23
OPP-00065,Leblanc-Blevins,Logistics,AMER,224470,Closed Lost,Webinar,Decision maker is hesitant about the pricing structure.,2025-11-06
OPP-00066,Smith LLC,Logistics,APAC,202273,Discovery,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2026-02-25
OPP-00067,Arroyo-Watkins,FinTech,APAC,144538,Discovery,Partner,Technical gap: missing multi-currency support in the dashboard.,2025-09-21
OPP-00068,"Mcfarland, Brown and Johnson",Retail,APAC,200600,Proposal,Partner,Technical gap: missing multi-currency support in the dashboard.,2025-09-12
OPP-00069,Brown Group,AI,EMEA,178429,Negotiation,Webinar,Decision maker is hesitant about the pricing structure.,2025-07-27
OPP-00070,"Gould, Taylor and Foster",HealthTech,APAC,185035,Negotiation,Cold Outbound,"Highly motivated, looking to close by the end of Q3.",2025-06-13
OPP-00071,Maddox-Taylor,AI,APAC,58760,Proposal,Webinar,"Budget is approved, but they need an API integration for Python.",2025-12-30
OPP-00072,Small PLC,Logistics,APAC,108346,Closed Lost,Webinar,"Great call, but internal restructuring might delay the sign-off.",2025-08-08
OPP-00073,"Martinez, Evans and Nguyen",FinTech,EMEA,108075,Closed Lost,Webinar,"Highly motivated, looking to close by the end of Q3.",2025-10-28
OPP-00074,"Proctor, Shelton and Gonzalez",SaaS,EMEA,94219,Closed Won,Webinar,"Great call, but internal restructuring might delay the sign-off.",2025-12-01
OPP-00075,Simpson Group,FinTech,APAC,170504,Qualification,Cold Outbound,"Highly motivated, looking to close by the end of Q3.",2025-03-17
OPP-00076,Norton-Gordon,AI,APAC,153549,Closed Won,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-05-29
OPP-00077,"Kane, Reese and Shepard",Logistics,APAC,201667,Qualification,LinkedIn,"Great call, but internal restructuring might delay the sign-off.",2025-10-07
OPP-00078,Robertson-Johnson,SaaS,AMER,53878,Closed Won,Partner,They are comparing us to a local competitor in Berlin.,2025-04-25
OPP-00079,Mcdaniel-Gonzalez,FinTech,APAC,116513,Qualification,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-05-03
OPP-00080,"Spears, Ruiz and Lee",Logistics,EMEA,88717,Negotiation,G2 Review,"Highly motivated, looking to close by the end of Q3.",2025-11-26
OPP-00081,Liu-Brown,FinTech,APAC,145928,Discovery,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-03-20
OPP-00082,Nunez-Daniels,HealthTech,AMER,153334,Proposal,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-06-07
OPP-00083,"Lang, Luna and Adkins",HealthTech,EMEA,34270,Closed Won,Partner,Customer requested a 15% discount; Finance approval pending.,2026-02-14
OPP-00084,Alexander and Sons,Retail,EMEA,158404,Closed Lost,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-05-12
OPP-00085,Bishop Ltd,AI,APAC,80526,Closed Won,G2 Review,Customer requested a 15% discount; Finance approval pending.,2026-03-03
OPP-00086,Carter Ltd,Logistics,APAC,49770,Closed Won,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2025-12-07
OPP-00087,Werner Ltd,FinTech,APAC,65796,Qualification,Partner,Technical gap: missing multi-currency support in the dashboard.,2025-11-30
OPP-00088,Houston-Brown,HealthTech,AMER,192014,Proposal,Webinar,"Budget is approved, but they need an API integration for Python.",2025-12-05
OPP-00089,Cuevas-Vega,AI,EMEA,212864,Negotiation,G2 Review,"Great call, but internal restructuring might delay the sign-off.",2025-11-11
OPP-00090,Hawkins Group,AI,AMER,100487,Closed Won,G2 Review,They are comparing us to a local competitor in Berlin.,2026-03-09
OPP-00091,Smith-Henderson,FinTech,EMEA,156576,Proposal,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-12-27
OPP-00092,Gonzales-Boyle,AI,AMER,51497,Negotiation,Webinar,Customer requested a 15% discount; Finance approval pending.,2025-11-04
OPP-00093,"Davila, Ramos and Brown",HealthTech,APAC,42195,Closed Won,LinkedIn,They are comparing us to a local competitor in Berlin.,2026-01-21
OPP-00094,"Martin, Armstrong and Randall",Retail,APAC,103905,Negotiation,LinkedIn,"Great call, but internal restructuring might delay the sign-off.",2025-07-17
OPP-00095,"Arnold, Hutchinson and Daniels",AI,AMER,234448,Closed Won,LinkedIn,They are comparing us to a local competitor in Berlin.,2025-06-20
OPP-00096,Wilson Inc,HealthTech,AMER,165331,Qualification,Webinar,Decision maker is hesitant about the pricing structure.,2025-12-26
OPP-00097,"Martinez, Austin and Hale",AI,APAC,16723,Closed Won,Webinar,Technical gap: missing multi-currency support in the dashboard.,2025-03-26
OPP-00098,"Graves, Hardin and Humphrey",Retail,EMEA,107526,Closed Lost,Partner,Decision maker is hesitant about the pricing structure.,2025-06-28
OPP-00099,Stewart Inc,SaaS,AMER,208484,Discovery,Partner,They are comparing us to a local competitor in Berlin.,2026-01-08
OPP-00100,Robinson-Davies,FinTech,EMEA,171602,Discovery,LinkedIn,"Great call, but internal restructuring might delay the sign-off.",2025-11-08
OPP-00101,Suarez-Fox,HealthTech,EMEA,31450,Closed Won,G2 Review,"Great call, but internal restructuring might delay the sign-off.",2026-01-13
OPP-00102,"Williams, Green and Collins",Retail,AMER,238881,Closed Lost,LinkedIn,"Budget is approved, but they need an API integration for Python.",2026-02-27
OPP-00103,Thornton and Sons,FinTech,EMEA,212195,Qualification,Partner,"Highly motivated, looking to close by the end of Q3.",2026-01-08
OPP-00104,"Daniel, Simpson and Kramer",AI,APAC,116692,Negotiation,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2025-11-21
OPP-00105,Miller and Sons,HealthTech,EMEA,139390,Closed Won,Webinar,They are comparing us to a local competitor in Berlin.,2025-03-14
OPP-00106,Grant-Riley,AI,AMER,165013,Discovery,LinkedIn,They are comparing us to a local competitor in Berlin.,2025-05-01
OPP-00107,Harmon-Burton,Retail,AMER,243699,Proposal,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-11-22
OPP-00108,Wilson-Patel,FinTech,APAC,146245,Discovery,Cold Outbound,Decision maker is hesitant about the pricing structure.,2025-07-11
OPP-00109,"Armstrong, Mora and Johnson",FinTech,AMER,132841,Discovery,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-06-16
OPP-00110,Bean Inc,AI,EMEA,201608,Proposal,Webinar,"Budget is approved, but they need an API integration for Python.",2025-09-17
OPP-00111,"Johnson, Arellano and Collins",Logistics,APAC,170092,Discovery,Webinar,Decision maker is hesitant about the pricing structure.,2025-06-22
OPP-00112,"Chandler, Cantrell and Moreno",Retail,AMER,100715,Proposal,G2 Review,"Budget is approved, but they need an API integration for Python.",2025-08-17
OPP-00113,"Steele, Sandoval and Mcpherson",SaaS,EMEA,241969,Closed Won,LinkedIn,"Great call, but internal restructuring might delay the sign-off.",2025-07-11
OPP-00114,"Green, Ortiz and Sutton",Logistics,AMER,29464,Closed Won,Cold Outbound,They are comparing us to a local competitor in Berlin.,2025-07-27
OPP-00115,Thomas Group,HealthTech,EMEA,95183,Closed Lost,Partner,"Budget is approved, but they need an API integration for Python.",2025-09-27
OPP-00116,"Collins, Gibbs and Welch",Retail,APAC,16295,Qualification,Partner,"Budget is approved, but they need an API integration for Python.",2025-05-24
OPP-00117,Harrison and Sons,AI,EMEA,94334,Negotiation,LinkedIn,"Highly motivated, looking to close by the end of Q3.",2025-12-11
OPP-00118,Wolfe-Finley,Logistics,APAC,34310,Proposal,Webinar,Customer requested a 15% discount; Finance approval pending.,2025-04-05
OPP-00119,Lewis-Brown,HealthTech,AMER,63762,Negotiation,G2 Review,"Budget is approved, but they need an API integration for Python.",2026-03-04
OPP-00120,Wagner Ltd,FinTech,EMEA,218187,Discovery,G2 Review,They are comparing us to a local competitor in Berlin.,2025-10-15
OPP-00121,Vargas Group,AI,EMEA,71787,Closed Won,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-03-25
OPP-00122,Mays and Sons,Retail,APAC,147603,Closed Won,LinkedIn,They are comparing us to a local competitor in Berlin.,2025-05-02
OPP-00123,Jackson-Kelly,HealthTech,APAC,165875,Closed Won,G2 Review,"Highly motivated, looking to close by the end of Q3.",2025-07-23
OPP-00124,Ramirez PLC,Retail,AMER,216112,Closed Lost,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-10-29
OPP-00125,White and Sons,Logistics,AMER,208401,Closed Lost,LinkedIn,They are comparing us to a local competitor in Berlin.,2025-09-11
OPP-00126,Chavez Group,HealthTech,APAC,145465,Qualification,Partner,They are comparing us to a local competitor in Berlin.,2025-10-05
OPP-00127,"Adams, Nichols and Wright",Logistics,AMER,57896,Closed Won,Webinar,"Highly motivated, looking to close by the end of Q3.",2025-04-12
OPP-00128,Brown and Sons,FinTech,APAC,37830,Discovery,G2 Review,"Highly motivated, looking to close by the end of Q3.",2025-10-05
OPP-00129,Weaver and Sons,FinTech,AMER,146724,Proposal,LinkedIn,"Highly motivated, looking to close by the end of Q3.",2026-02-26
OPP-00130,"Hernandez, Taylor and Holmes",HealthTech,AMER,227130,Discovery,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-04-09
OPP-00131,"Forbes, King and Edwards",AI,AMER,239048,Discovery,Webinar,"Budget is approved, but they need an API integration for Python.",2025-12-11
OPP-00132,Griffin LLC,Retail,AMER,26792,Proposal,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-06-09
OPP-00133,Boyd-Martinez,HealthTech,APAC,15359,Closed Lost,Partner,Technical gap: missing multi-currency support in the dashboard.,2026-01-31
OPP-00134,Miller PLC,HealthTech,AMER,176797,Negotiation,Partner,"Highly motivated, looking to close by the end of Q3.",2025-08-09
OPP-00135,Wilson-Jackson,Logistics,EMEA,134997,Negotiation,Partner,Customer requested a 15% discount; Finance approval pending.,2025-11-15
OPP-00136,"Bonilla, Simpson and Brown",Retail,APAC,29575,Closed Won,Partner,Customer requested a 15% discount; Finance approval pending.,2025-11-22
OPP-00137,"Weiss, Lee and Irwin",AI,APAC,213476,Closed Lost,Cold Outbound,They are comparing us to a local competitor in Berlin.,2025-05-08
OPP-00138,Bradley-Hamilton,Retail,EMEA,52804,Closed Lost,G2 Review,Decision maker is hesitant about the pricing structure.,2025-07-31
OPP-00139,Sutton-Salas,FinTech,APAC,242648,Closed Lost,G2 Review,"Highly motivated, looking to close by the end of Q3.",2025-06-11
OPP-00140,Mcgee Group,Logistics,EMEA,163097,Discovery,Webinar,They are comparing us to a local competitor in Berlin.,2026-01-05
OPP-00141,Avila and Sons,AI,AMER,96638,Negotiation,Cold Outbound,They are comparing us to a local competitor in Berlin.,2025-07-19
OPP-00142,Walker-Valdez,FinTech,AMER,183276,Closed Lost,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2026-03-13
OPP-00143,Bishop-Jones,AI,AMER,97884,Negotiation,Cold Outbound,"Highly motivated, looking to close by the end of Q3.",2025-05-16
OPP-00144,Bennett-Burgess,SaaS,AMER,163264,Qualification,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-11-12
OPP-00145,"Carlson, Craig and Parker",Retail,AMER,210407,Negotiation,Webinar,"Great call, but internal restructuring might delay the sign-off.",2025-07-17
OPP-00146,Harris-Jones,FinTech,EMEA,242906,Closed Won,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2026-03-09
OPP-00147,Barnes-Rogers,HealthTech,AMER,50095,Proposal,Webinar,Customer requested a 15% discount; Finance approval pending.,2025-07-31
OPP-00148,Cox PLC,FinTech,AMER,96915,Closed Won,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-04-08
OPP-00149,Austin LLC,HealthTech,EMEA,23197,Qualification,G2 Review,"Budget is approved, but they need an API integration for Python.",2025-07-02
OPP-00150,Brown Group,HealthTech,AMER,142842,Qualification,Webinar,"Great call, but internal restructuring might delay the sign-off.",2025-08-29
OPP-00151,Coleman-Norman,Retail,APAC,149662,Proposal,Webinar,"Great call, but internal restructuring might delay the sign-off.",2025-04-28
OPP-00152,Copeland-Pierce,Retail,APAC,92770,Discovery,Webinar,Customer requested a 15% discount; Finance approval pending.,2025-08-14
OPP-00153,"Myers, Allen and Bailey",Logistics,EMEA,189166,Proposal,Cold Outbound,Decision maker is hesitant about the pricing structure.,2025-05-12
OPP-00154,Perkins-Hammond,AI,APAC,157690,Negotiation,Webinar,Customer requested a 15% discount; Finance approval pending.,2025-11-12
OPP-00155,Garcia Inc,Logistics,AMER,172954,Proposal,G2 Review,They are comparing us to a local competitor in Berlin.,2025-04-22
OPP-00156,Harrison-Lloyd,Retail,EMEA,38395,Closed Lost,Cold Outbound,"Highly motivated, looking to close by the end of Q3.",2025-05-05
OPP-00157,"Castillo, Smith and Anderson",AI,APAC,94839,Discovery,Webinar,They are comparing us to a local competitor in Berlin.,2025-06-22
OPP-00158,Mendez-Hamilton,Logistics,APAC,174493,Negotiation,Partner,"Budget is approved, but they need an API integration for Python.",2025-08-05
OPP-00159,"Frey, Reyes and Snow",SaaS,AMER,83612,Closed Won,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-11-06
OPP-00160,King-Hill,HealthTech,EMEA,94030,Closed Lost,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-08-14
OPP-00161,Andrews LLC,Logistics,EMEA,48685,Proposal,Webinar,Customer requested a 15% discount; Finance approval pending.,2026-02-19
OPP-00162,"Lopez, Ramirez and Palmer",HealthTech,EMEA,171573,Discovery,G2 Review,They are comparing us to a local competitor in Berlin.,2025-07-15
OPP-00163,George-Cordova,HealthTech,AMER,60939,Negotiation,G2 Review,Decision maker is hesitant about the pricing structure.,2025-09-11
OPP-00164,"Lewis, Perkins and Jones",FinTech,APAC,90718,Proposal,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-11-28
OPP-00165,"Reid, Clay and Noble",Logistics,AMER,51812,Qualification,Partner,Decision maker is hesitant about the pricing structure.,2025-05-22
OPP-00166,"Jones, Wallace and Morse",SaaS,APAC,249167,Proposal,Cold Outbound,Technical gap: missing multi-currency support in the dashboard.,2025-09-12
OPP-00167,Payne and Sons,Logistics,EMEA,243045,Closed Won,Partner,"Highly motivated, looking to close by the end of Q3.",2025-12-13
OPP-00168,"Hurst, Williams and Moss",FinTech,EMEA,27522,Closed Lost,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-04-07
OPP-00169,Howell-Powers,FinTech,APAC,132741,Discovery,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2025-12-16
OPP-00170,Chavez LLC,Logistics,AMER,122613,Negotiation,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2026-02-26
OPP-00171,"Nguyen, Mcconnell and Smith",HealthTech,EMEA,17828,Closed Won,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-12-15
OPP-00172,Jacobs Group,AI,APAC,216850,Proposal,G2 Review,Customer requested a 15% discount; Finance approval pending.,2026-01-07
OPP-00173,Mccarthy-Steele,Logistics,AMER,243477,Proposal,LinkedIn,"Budget is approved, but they need an API integration for Python.",2025-12-15
OPP-00174,Harris-King,Logistics,AMER,126314,Closed Lost,G2 Review,"Budget is approved, but they need an API integration for Python.",2025-04-03
OPP-00175,Thompson and Sons,SaaS,APAC,32937,Closed Lost,G2 Review,They are comparing us to a local competitor in Berlin.,2025-08-20
OPP-00176,Garcia-Chung,AI,EMEA,235639,Closed Won,Partner,Customer requested a 15% discount; Finance approval pending.,2025-04-05
OPP-00177,"Costa, Lewis and Jacobson",HealthTech,AMER,59520,Qualification,G2 Review,"Budget is approved, but they need an API integration for Python.",2025-04-16
OPP-00178,"Daniel, Rice and Jensen",SaaS,APAC,50717,Closed Won,Partner,Technical gap: missing multi-currency support in the dashboard.,2025-06-08
OPP-00179,"Williams, Hernandez and Ramirez",AI,APAC,42700,Qualification,Webinar,"Great call, but internal restructuring might delay the sign-off.",2025-12-26
OPP-00180,Hayes and Sons,SaaS,EMEA,97276,Negotiation,Webinar,"Budget is approved, but they need an API integration for Python.",2025-05-16
OPP-00181,"Turner, Harris and Marks",FinTech,APAC,166039,Proposal,Partner,"Budget is approved, but they need an API integration for Python.",2025-11-29
OPP-00182,Richard-Humphrey,FinTech,EMEA,117698,Closed Won,Cold Outbound,Decision maker is hesitant about the pricing structure.,2025-08-21
OPP-00183,Simpson LLC,Retail,APAC,129389,Negotiation,Webinar,Decision maker is hesitant about the pricing structure.,2025-08-22
OPP-00184,"Mcdaniel, Williams and Blake",Logistics,APAC,238300,Discovery,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2026-02-10
OPP-00185,Dawson-Rhodes,Retail,APAC,198534,Negotiation,Partner,Decision maker is hesitant about the pricing structure.,2025-05-18
OPP-00186,Perkins-Gray,AI,AMER,54456,Negotiation,Webinar,Technical gap: missing multi-currency support in the dashboard.,2025-05-09
OPP-00187,Pearson PLC,Retail,AMER,188933,Discovery,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-04-10
OPP-00188,"Mason, Jimenez and Wells",HealthTech,APAC,22419,Closed Lost,Webinar,Technical gap: missing multi-currency support in the dashboard.,2025-10-17
OPP-00189,Thompson-Wolfe,SaaS,APAC,54281,Qualification,Cold Outbound,Decision maker is hesitant about the pricing structure.,2025-07-11
OPP-00190,Holt-Hughes,AI,APAC,67352,Discovery,G2 Review,They are comparing us to a local competitor in Berlin.,2025-11-03
OPP-00191,Morgan-Howard,Logistics,EMEA,190602,Proposal,G2 Review,"Highly motivated, looking to close by the end of Q3.",2025-04-25
OPP-00192,Stewart-Patel,Logistics,EMEA,116157,Proposal,Cold Outbound,Decision maker is hesitant about the pricing structure.,2026-01-24
OPP-00193,Cannon Inc,HealthTech,EMEA,226457,Closed Lost,G2 Review,Customer requested a 15% discount; Finance approval pending.,2026-02-01
OPP-00194,"Conner, Walters and Dean",Retail,EMEA,130079,Closed Lost,Partner,"Budget is approved, but they need an API integration for Python.",2025-07-24
OPP-00195,"Davis, Nelson and Martinez",SaaS,AMER,234461,Closed Lost,Partner,Customer requested a 15% discount; Finance approval pending.,2025-09-28
OPP-00196,"Nelson, Garcia and Gilbert",Logistics,EMEA,184792,Qualification,Cold Outbound,Decision maker is hesitant about the pricing structure.,2025-03-22
OPP-00197,Bush-Moreno,Logistics,EMEA,121806,Closed Lost,G2 Review,They are comparing us to a local competitor in Berlin.,2025-11-09
OPP-00198,Green PLC,Retail,AMER,78391,Qualification,Cold Outbound,Technical gap: missing multi-currency support in the dashboard.,2025-09-04
OPP-00199,Jones and Sons,AI,AMER,41617,Negotiation,Partner,"Budget is approved, but they need an API integration for Python.",2026-01-28
OPP-00200,Parker-Henry,Logistics,AMER,198848,Qualification,Cold Outbound,They are comparing us to a local competitor in Berlin.,2025-04-21
